wave,Fobar,oza,ag,aw
576.0,1.8159020000000001,0.1195,0.0,0.0104
577.0,1.837482,0.1193,0.0,0.0106
578.0,1.8040809999999998,0.1187,0.0,0.0105
579.0,1.8023434999999999,0.1179,0.0,0.0082
580.0,1.8234130000000002,0.1169,0.0,0.0002
581.0,1.8249484999999999,0.1159,0.0,0.0
582.0,1.8453215,0.1147,0.0,0.0
583.0,1.850969,0.1136,0.0,0.0
584.0,1.8476735,0.1124,0.0,0.0
585.0,1.8167955,0.1113,0.0,0.0026
586.0,1.7835714999999999,0.1103,0.0,0.1233
587.0,1.817886,0.1093,0.0,0.2843
588.0,1.807742,0.1086,0.0,0.4539
589.0,1.6631879999999999,0.1082,0.0,0.6053
590.0,1.71718272727273,0.1082,0.0,0.7
591.0,1.7770256,0.1089,0.0,0.6971
592.0,1.7965094000000001,0.1102,0.0,0.6357
593.0,1.78303818181818,0.1117,0.0,0.5493
594.0,1.797327,0.1134,0.0,0.4543
595.0,1.78148727272727,0.1152,0.0,0.3613
596.0,1.7871264,0.117,0.0,0.2779
597.0,1.7998044444444399,0.1188,0.0,0.2019
598.0,1.7746924,0.1206,0.0,0.1315
599.0,1.77220111111111,0.1222,0.0,0.0692
600.0,1.767196,0.1236,0.0,0.0226
601.0,1.74521181818182,0.1247,0.0,0.0218
602.0,1.7240794949495,0.1253,0.0,0.0172
603.0,1.761372,0.1252,0.0,0.0111
604.0,1.7767014141414101,0.1246,0.0,0.0005
605.0,1.7718703030303002,0.1238,0.0,0.0003
606.0,1.7537159595959602,0.1227,0.0,0.0
607.0,1.7571305000000002,0.1215,0.0,0.0
608.0,1.7333509090909098,0.1203,0.0,0.0
609.0,1.7227787878787901,0.119,0.0,0.0
610.0,1.71044808080808,0.1177,0.0,0.0
611.0,1.72140565656566,0.1164,0.0,0.0
612.0,1.71207,0.115,0.0,0.0
613.0,1.7019752525252498,0.1136,0.0,0.0
614.0,1.6677568686868698,0.1123,0.0,0.0
615.0,1.69271333333333,0.1109,0.0,0.0
616.0,1.64194857142857,0.1096,0.0,0.0
617.0,1.63043424242424,0.1082,0.0,0.0
618.0,1.68189707070707,0.1068,0.0,0.0
619.0,1.68236373737374,0.1054,0.0,0.0
620.0,1.6981893877551,0.1041,0.0,0.0
621.0,1.7059155555555598,0.1027,0.0,0.0
622.0,1.67981939393939,0.1013,0.0,0.0
623.0,1.6766652284263999,0.1,0.0,0.0
624.0,1.6602439086294398,0.0986,0.0,0.0
625.0,1.64606306122449,0.0972,0.0,0.0
626.0,1.65252181818182,0.0959,0.0021,0.0009
627.0,1.69179540816327,0.0945,0.0049,0.0021
628.0,1.69641454545455,0.0931,0.0078,0.0033
629.0,1.68768795918367,0.0917,0.0103,0.0043
630.0,1.6661887755102,0.0904,0.0114,0.0047
631.0,1.6558011111111102,0.089,0.0103,0.0042
632.0,1.6416474489795898,0.0876,0.0078,0.0031
633.0,1.65962785714286,0.0863,0.0049,0.0018
634.0,1.64758030612245,0.0849,0.0021,0.0007
635.0,1.65323,0.0835,0.0,0.0
636.0,1.6483759183673499,0.0822,0.0,0.0001
637.0,1.65403102040816,0.0808,0.0,0.0007
638.0,1.6679248979591799,0.0794,0.0,0.0014
639.0,1.64934326530612,0.078,0.0,0.0017
640.0,1.62254714285714,0.0767,0.0,0.0011
641.0,1.6125900000000002,0.0753,0.0,0.0
642.0,1.61632244897959,0.0739,0.0,0.0
643.0,1.62177959183673,0.0726,0.0,0.0
644.0,1.6190551020408201,0.0712,0.0,0.0
645.0,1.61166693877551,0.0699,0.0,0.0111
646.0,1.60461804123711,0.0685,0.0,0.0384
647.0,1.61108306122449,0.0672,0.0,0.0743
648.0,1.6166834693877599,0.0659,0.0,0.1122
649.0,1.57757306122449,0.0647,0.0,0.1473
